Pilot,Tail Number,Derived Origin,Start Latitude,Start Longitude,Derived Destination,End Latitude,End Longitu    de,Start Time,End Time,Total Duration,Total Distance,Initial Attitude Source,Device Model,Device Model Detailed,iOS Version,Battery Level,Battery State,GPS Source,Maximum Vertical Error,Minimum Vertical Error,Average Vertical Error,Maximum Horizontal Error,Minimum Horizontal Error,Average Horizontal Error,Imported From,Route Waypoints
"Ben Lauret","PHCOP","EHEH",51.457648628699204,5.377423034919408,"EHEH",51.4576416015625,5.377472400665283,1653207022000,1653211084715,4062.7152309417725,74.57301125261452,"None","iPad","iPad11,2","15.4.1",1.0,"iOS",15.928573598448835,1.0,1.458749878100928,22.666000366210938,1.0,1.2446338868882723,"iOS","LERE LECH LERS LESU LFMT LFMD LIMJ LIRJ LFKO LIEO 6500ft"
Timestamp,Latitude,Longitude,Altitude,Course,Speed,Bank,Pitch,Horizontal Error,Vertical Error
1.653207781346449E9,51.45902633666992,5.384496688842773,66.2696768292604,-1.0,0.0,2.102353096008301,4.467771530151367,1.0,1.0
1.653207782351668E9,51.459022521972656,5.384495735168457,66.2696768292604,-1.0,0.0,2.102353096008301,4.467771530151367,1.0,1.0
1.653207783347544E9,51.45901870727539,5.384494304656982,66.2696768292604,-1.0,0.0,2.102353096008301,4.467771530151367,1.0,1.0
1.653207784346631E9,51.45901870727539,5.384494304656982,66.2696768292604,-1.0,0.0,2.102353096008301,4.467771530151367,1.0,1.0
1.6532077853475862E9,51.45901870727539,5.38449239730835,66.2696768292604,-1.0,0.0,-3.268889537726402,7.467521836557755,1.0,1.0
1.653207786347103E9,51.459007263183594,5.384480953216553,66.60105988109511,-1.0,0.0,-3.268889537726402,7.467521836557755,1.0,1.0
1.653207788470697E9,51.45893478393555,5.384414196014404,66.2696768292604,214.9714157393607,13.284138294202698,-3.268889537726402,7.467521836557755,1.6660000085830688,1.6660000085830688
1.653207789347122E9,51.45887756347656,5.384348392486572,66.2696768292604,215.43957356203785,17.28810779296641,-3.268889537726402,7.467521836557755,1.3329999446868896,1.6660000085830688
1.65320779136601E9,51.458717346191406,5.384169578552246,66.60105988109511,214.62741717945974,24.749710252174115,-3.268889537726402,7.467521836557755,1.0,1.3329999446868896
1.653207792473068E9,51.4586181640625,5.384057998657227,66.60105988109511,214.899438491968,28.481334508683446,-3.268889537726402,7.467521836557755,1.0,1.3329999446868896
1.65320779434711E9,51.458377838134766,5.3837890625,65.94487688359932,214.8277434823753,35.435075578382865,-3.268889537726402,7.467521836557755,1.0,1.3329999446868896
1.653207796450619E9,51.45808410644531,5.383462429046631,66.60105988109511,215.0703326134815,41.94319126625916,2.256551692571223,15.60013794329496,1.0,1.3329999446868896
1.653207798347231E9,51.457740783691406,5.383082389831543,66.2696768292604,214.71860682856206,48.0546030749218,2.256551692571223,15.60013794329496,1.0,1.3329999446868896
1.653207800347033E9,51.45735549926758,5.382652282714844,65.94487688359932,214.79879091986376,53.82989410282466,2.256551692571223,15.60013794329496,1.0,1.3329999446868896
1.6532078013588638E9,51.45714569091797,5.382419586181641,65.6167979002624,214.76943668947382,56.61013165950514,2.256551692571223,15.60013794329496,1.0,1.3329999446868896
1.6532078023544312E9,51.45692443847656,5.382174491882324,65.6167979002624,214.96050768028948,59.355590091127816,2.256551692571223,15.60013794329496,1.0,1.3329999446868896
1.653207803352408E9,51.456695556640625,5.381916046142578,65.94487688359932,215.63023193314382,61.69029307741448,2.256551692571223,15.60013794329496,1.0,1.3329999446868896
1.6532078053464851E9,51.45621871948242,5.381360054016113,67.58529683110588,215.19078604032612,65.68855289992725,2.256551692571223,15.60013794329496,1.0,1.0
1.6532078063467941E9,51.455963134765625,5.381072044372559,69.55379576194936,215.06016343232696,67.48545346553487,0.8675771794058,17.82733150979509,1.0,1.0
1.653207807348724E9,51.45570755004883,5.380782127380371,71.85039870695172,214.99929819494696,68.94680694936818,0.8675771794058,17.82733150979509,1.0,1.0
1.653207808355554E9,51.4554443359375,5.380483627319336,77.42781651614524,215.37057101346127,69.72974627179235,0.8675771794058,17.82733150979509,1.0,1.0
1.653207810352396E9,51.45492172241211,5.379884719848633,99.08135481706744,215.45984483855622,69.1984928170785,0.8675771794058,17.82733150979509,1.0,1.0
1.653207811356854E9,51.45466232299805,5.379587173461914,110.89239846377224,216.33002584076488,68.45046698331407,0.8675771794058,17.82733150979509,1.0,1.0
1.653207812347534E9,51.454410552978516,5.379283428192139,121.06299713214851,217.17069571545892,68.79477050939732,0.8675771794058,17.82733150979509,1.0,1.0
1.653207814347635E9,51.45390701293945,5.378664016723633,143.37269339974455,217.8799893012846,68.27726286790522,0.8675771794058,17.82733150979509,1.0,1.0
1.653207816346818E9,51.45341110229492,5.378037452697754,168.96325459317566,218.52015910913443,68.75352752661469,0.4253685517075044,17.92663277284857,1.0,1.0
1.653207817346774E9,51.453163146972656,5.377717971801758,181.75853518989123,219.20958875401675,68.52788297613367,0.4253685517075044,17.92663277284857,1.0,1.0
1.6532078183466E9,51.45292282104492,5.3773956298828125,194.8818947699437,220.54033539440798,67.77314393169345,0.4253685517075044,17.92663277284857,1.0,1.0
1.6532078193472738E9,51.45268630981445,5.3770647048950195,205.70865140499384,221.0192385011053,68.38720287118565,0.4253685517075044,17.92663277284857,1.0,1.0
1.653207820348449E9,51.452449798583984,5.376731872558594,216.5354330708659,221.63901484501181,67.5687101258149,0.4253685517075044,17.92663277284857,1.0,1.0
1.6532078213474941E9,51.45221710205078,5.376400947570801,228.34645168674876,221.8894807336415,66.49345757387105,0.4253685517075044,17.92663277284857,1.0,1.0
